"","company","time","title","job_title","job_location","recommends_rating","outlook_rating","ceo_rating","experience","pros","cons","advice_to_management"
"119","Cargill","2018-03-25","""Great place to work""","Former Employee - Anonymous Employee","","NA","NA","NA","I worked at Cargill full-time","As an undergraduate placement student, they give you a lot of responsibility and freedom to become involve in what interests you.","It can tend to value action over results",""
"120","Cargill","2018-03-21","""Associate Recruiter""","Former Employee - Anonymous Employee","","Recommends","NA","NA","I worked at Cargill full-time","Advanced processes and procedures","Inconsistent career advancement opportunities",""
"121","Boston Scientific","","""Work hard, Share knowledge, Never stop innovating""","Current Employee - Anonymous Employee","","Recommends","Positive Outlook","Approves of CEO","I have been working at Boston Scientific full-time (Less than a year)","Excellent mission. Thoughtful orientation and onboarding process. Always thinking about improving the quality of life and saving lives of patients. Good Work/life balance. You can get involved in as much or as little extra projects for your development as you want.","Can't think of any true negatives. Maple Grove cafeteria needs an upgrade - add vegetarian/vegan options, more fresh vegetables, etc.","Keep stressing the importance of working hard and sharing knowledge. Never stop innovating."
"122","Boston Scientific","2018-04-16","""epd engineer""","Current Employee - Epd Engineer","Clonmel (Ireland)","Recommends","Neutral Outlook","No opinion of CEO","I have been working at Boston Scientific full-time (Less than a year)","flexible great people with loads of opportunities","work load can be overwelming",""
"123","Boston Scientific","2018-04-13","""It was a great place to work.""","Former Employee - Anonymous Employee","Valencia, CA","Doesn't Recommend","Neutral Outlook","No opinion of CEO","I worked at Boston Scientific full-time (More than 10 years)","Really great people, products, and technology.","Corporate has moved manufacturing to Ireland, Puerto Rico and Central America to reduce costs. Other key areas are reporting directly to Corporate.","My advice to corporate management is to follow J&J's acquisition methodology of allowing profitable divisions to continue operating the way that makes them profitable."
"124","Boston Scientific","2018-04-10","""15 years and counting""","Current Employee - Global D&I Manager","Chicago, IL","Recommends","Positive Outlook","Approves of CEO","I have been working at Boston Scientific full-time (More than 10 years)","Knowing that the work we do saves and improves the lives of patients around the world, and the commitment our employees bring to their work every day to make this possible.","I honestly can't think of any worth mentioning.","Continue to find ways to support the demands of integrating life and work. Never stop researching and investing in the great benefits that help employees succeed. Each employee has a unique set of skills and needs, and learning to bring the best out of everyone while encouraging an environment where everyone can thrive is what I believe sets BSC apart."
"125","Boston Scientific","2018-04-06","""BSC 1st year""","Current Employee - Senior Manager","Marlborough, MA","Recommends","Positive Outlook","Approves of CEO","I have been working at Boston Scientific full-time (More than a year)","* Excellent Management* Growing Internationally* Really cares about employees* Flexibility","No real cons for me up to now (year 1)",""
"126","Boston Scientific","2018-04-05","""Mean Girls...""","Former Employee - Field Support Representative","Valencia, CA","Doesn't Recommend","Negative Outlook","No opinion of CEO","I worked at Boston Scientific (More than a year)","Learning SCS and DBS...”Free Education”","•working within the SCS division; too many chiefs running the show, abusive atmosphere from field support reps and clinical specialist, isolation, sink or swim atmosphere, no structured training model, employees purposely sabotages employees attempting to discredit them, pay, management doesn’t manage behaviors internally nor in the field.•Leadership; Supervisor’s did not manage abusive behaviors as field support employees constantly played pranks, verbally abused one another, teamed up against one or several field support employees.•Recognition; if you do not brown nose, you can kiss any chance of recognition goodbye. I moved millions of dollars of inventory around the U.S. significantly reducing RGA, and expired product being sent back and did not receive recognition for it. Additionally, designed software to manage rep inventory and my design, layout, format was modeled into another system in which I did not receive recognition for.•Very judgemental atmosphere•Clicky•best described as “Mean girls meets the devil wears Prada”•One Hans dosent know what the other hand is doing•CS runs the entire organizationNo sense of culture•management forced SCS employees to work during hazardous conditions (fire and smoke)","The SCS department (field support) demands structure...that is a robust training program, combination of online and hands on learning, strong leadership vs. passive. Additionally, leadership that reign in CS essentially preventing abusive behaviors as well as holding reps accountable for their actions or lack of actions.The organization or at least the SCS division (field support) need to be temporarily automated while such division undergo restructuring. Please replace seasoned field support employees and supervisors as they’re poisonous to the work environment."
"127","Boston Scientific","2018-03-24","""Good company to work for""","Former Employee - Anonymous Employee","","Recommends","Positive Outlook","Approves of CEO","I worked at Boston Scientific full-time","Decent work environment. Management keeps their promises. There is a sense of certainty about where the company is going.","More training needed for junior engineers.","Try to keep employee turnover at a lower number."
"128","Boston Scientific","2018-03-24","""Good company to work for""","Former Employee - Anonymous Employee","","Recommends","Positive Outlook","Approves of CEO","I worked at Boston Scientific full-time","Decent work environment. Management keeps their promises. There is a sense of certainty about where the company is going.","More professional development needed for junior engineers.","Keep hiring good talent"
"129","Boston Scientific","2018-03-24","""Best company in the area""","Current Employee - Senior Process Engineer","Maple Grove, MN","Recommends","Positive Outlook","Approves of CEO","I have been working at Boston Scientific full-time (More than a year)","Employee cultureCelebrating winsManagers that enable youCompensation and promotions based more on performance than experience or years workedLots of great tools/technology available in the labsOffices and production areas are clean and professionalMoving towards automated manufacturing, variable data collection, big data analysis, basically the futureGreat benefits and competitive salariesOften see employees with 10+ years of experienceEmployee engagement is high, plenty of employee groups and ways to get involved in activities outside your project","Cross-site communication and collaboration is currently a challengeProduct builder compensation has room for improvement to help retain great talent","I would recommend smaller more focused eng teams for projects, 7 people max which consist of people passionate about the project. It would reduce communication and bureaucratic issues caused by larger teams and improve efficiency by leaving decisions to the few who are deeply involved."
"130","Boston Scientific","2018-03-23","""Manufacturing Engineer II""","Former Employee - Anonymous Employee","","Recommends","Positive Outlook","Approves of CEO","I worked at Boston Scientific full-time","Work Environment, People, learning, education, global enviornment","Salary, Difficult to form project teams",""
"131","Caribou Coffee","2018-04-16","""Short review!""","Current Employee - Anonymous Employee","","Recommends","Neutral Outlook","NA","I have been working at Caribou Coffee part-time (More than 10 years)","So fun to work here. Very flexible. Great benefits. Great potential to move up.","Hourly wage could be greater. (It’s definitely not bad though).","Share how great your employees do. It means a lot."
"132","Caribou Coffee","2018-04-07","""Good benefits for part-time, if you can get the hours""","Former Employee - Team Member","Duluth, MN","Recommends","Positive Outlook","NA","I worked at Caribou Coffee part-time (Less than a year)","part timers can get 401K and health care insuranceextensive traininggreat products - quality coffee and co-brand with Einstein Bagels, from-scratch egg sandwiches, quality lox and morecomputerized scheduling, easy to post shift you want covered","very early shifts - hard to get hours evenings as they are a morning placesome shift managers much better than othersnot so easy for part-timers to get trained to new positionfood waste hard to see","explain/emphasize benefits better to workers not taking advantage of them"
"133","Caribou Coffee","2018-04-06","""Poor senior management""","Former Employee - ASM- Assistant Store Manager","","Doesn't Recommend","Negative Outlook","Disapproves of CEO","I worked at Caribou Coffee full-time (More than a year)","Decent benefits and employee perks","Too much micromanaging, expect managers to be “leaders” and not workers, yet expect managers to keep labor so low that have to work as a team member in a position all shift, yet still expect you as a manager to be a manager.","Company only cares about their bottom line and profits, not their employees."
"134","Caribou Coffee","2018-04-05","""Great company, awful communication""","Current Employee - Customer Service Representative","Minneapolis, MN","Recommends","Negative Outlook","Approves of CEO","I have been working at Caribou Coffee full-time (More than 10 years)","Amazing PTOFun activities and work eventsCamaraderie at work with coworkersPets can come to the officeFree coffee!Still has hometown roots, wants to remain a MN nice companyPerks programOffice location","Limited ability to move up, promotions and company-wide recognitionPay is minimalStressful environmentDepartments don’t communicate efficiently at all - or to the stores","Get people to COMMUNICATE AND BE ACCOUNTABLE. If someone says “that’s not my job”, ask them why they don’t step up and do it. Ask the people who do the work, not the managers, what needs to be done and how things could be better. Quit with the “do first, ask later” mentality to doing business."
"135","Caribou Coffee","2018-04-03","""Love It""","Current Employee - Greeter/Barista","Saint Paul, MN","Recommends","Positive Outlook","No opinion of CEO","I have been working at Caribou Coffee part-time (Less than a year)","Nice clientele, positive work environment, opportunity to work way up, free drinks, 30% off merch/food, free tea or coffee beans each week","Early morning shifts, you need more training than many other jobs","Keep doing the challenges, it's a great way to teach sales skills to staff. Keep doing the staff acknowledgments certificates, it reminds us people appreciate us and that customers do notice when we put in the extra work."
"136","Caribou Coffee","2018-03-29","""Great job, Low pay""","Current Employee - Anonymous Employee","","Recommends","Neutral Outlook","Approves of CEO","I have been working at Caribou Coffee part-time","A constant supply of good coffee, friendly employees, easy job to work","low paying, inexperienced and unprofessional management,",""
"137","Caribou Coffee","2018-03-23","""Team member""","Former Employee - Anonymous Employee","","NA","NA","NA","I worked at Caribou Coffee part-time","Free coffee!!! Networking with customers and that’s how I found a better job opportunity.","Stressful and toxic environment due to drama, no breaks, pay isn’t the best, and hard to get days off/switch shifts with people.","Corporate has all these new ideas and a lot of these are not well thought out.."
"138","Caribou Coffee","2018-03-21","""Ok place to work for extra cash""","Former Employee - Barista","Roseville, MN","Recommends","Neutral Outlook","No opinion of CEO","I worked at Caribou Coffee part-time (More than a year)","Fun people, hours flexible, fun work","Not great pay, almost no tips,",""
"139","Caribou Coffee","2018-03-20","""I initially deleted my review because I thought it was too harsh, then I had more to add!""","Current Employee - Team Member","","Doesn't Recommend","Negative Outlook","No opinion of CEO","","You get free coffee and the people are actually nice. That's literally it. This is a place to work short-term if you need to improve your customer service skills and you like coffee, and then get out of as fast as your resume can carry you.","* I get to keep track of three different websites for hours, training, etc. Some of these have content that does not work on store computers so I do them at home for free.* My managers frequently don't know what's going on, whether it's about new health codes or my pay.* Speaking of my pay. I'm getting .20 less than was agreed upon when I was hired, and still thinking of what to do about this.* Also speaking of my pay, my first manager told me the wrong date for payday, so I spent weeks thinking my pay was late.* Right now, I'm doing unpaid training.* Everything actually sucks, down to the register software which is obtuse. Our dishes are nice I guess, which is great for our customers.* Starbucks treated me better and paid me more.","You know how people tell you to be yourself? Don't do that. Be everyone except you. Be Starbucks, even."
"140","Caribou Coffee","2018-03-20","""Serious issues""","Current Employee - Team Member","","Doesn't Recommend","Negative Outlook","No opinion of CEO","I have been working at Caribou Coffee part-time","Flexible hours, good for students","Bad managementBad training structureLow employee moralConstant Heath code violationsNo response from HR to serious complaints about bad practices, including but not limited to wage discrimination, heath code violations, managers leaving early or taking 2 hour paid lunch breaks, sexual harassment, and nepotism.","Look one of the main problems is that management is more concerned with saving their job and looking good to corporate than actually doing a good job, or treating employees with any respect."
"141","Allina Health","","""Supervisor Revenue Cycle Management""","Current Employee - Revenue Cycle Sup","Minneapolis, MN","Recommends","Positive Outlook","Approves of CEO","I have been working at Allina Health full-time (More than a year)","Amazing culture, excellent executive leadership team - they keep you informed and treat and value their staff.","I love everything about this company.","Great opportunity for growth and advancement"
"142","Allina Health","2018-04-09","""Good company""","Former Employee - Anonymous Employee","","NA","NA","NA","I worked at Allina Health part-time","Good benefits, diverse employee demographic","Budget cuts, administrative changes","Not sure"
"143","Allina Health","2018-04-06","""Patient Service Rep""","Former Employee - Anonymous Employee","","Recommends","Neutral Outlook","Disapproves of CEO","I worked at Allina Health full-time","Great Co-worker, pay and benefits","Unable to advance after 12 years of employment.",""
"144","Allina Health","2018-03-30","""Contact center""","Current Employee - Contact Center Agent","Minneapolis, MN","Recommends","Positive Outlook","Approves of CEO","I have been working at Allina Health full-time (Less than a year)","Good benefits, room for growth, a lot of opportunities within if you’re willing to work hard for it.","It’s a very large company so knowing someone is the best way into the company.",""
"145","Allina Health","2018-03-21","""A place to make some good money""","Current Employee - Anonymous Employee","","Doesn't Recommend","Negative Outlook","Approves of CEO","I have been working at Allina Health full-time","Good salary and benefits combination .","Only managers and above get bonuses, others do not!Supervisors do not get feedback from employees, Even if they do, they are not communicated above them.Too top heavy.","You need upward feedback from employees to management and work on it.You need to reward bonuses to all employees who play a role in achieving targets."
"146","Allina Health","2018-03-20","""Patient registration""","Former Employee - Anonymous Employee","","Recommends","Positive Outlook","Approves of CEO","I worked at Allina Health full-time","Great company to work for, friendly staff","Staffing shortages leave you getting constantly harraased to work on your days off",""
"147","Allina Health","2018-03-16","""Medical Lab Scientist""","Current Employee - Medical Laboratory Scientist Lead","","Recommends","Positive Outlook","No opinion of CEO","I have been working at Allina Health full-time (More than 3 years)","Good benefits, decent pay. The company is good as a whole. Depending on what location you are in the cultures could be completely different but that's almost like any business.","The tiny pay increases per year. With all the talk of turnover and employee retention they sure aren't doing enough to keep their current employees. Current research shows that in order to get the best pay increases you have to switch companies every 3-4 years. When my pay only goes up 2.5% a year, there isn't much incentive to stick around for a long time.",""
"148","Allina Health","2018-03-15","""Fantastic company to work for""","Current Employee - Anonymous Employee","","Recommends","Positive Outlook","No opinion of CEO","I have been working at Allina Health full-time","Great co-workers, excellent benefits, and easy parking for workers.","Food not that great, management sometimes doesn't listen to workers input making them feel less valuable.","If you tell workers you are going to do something, but transparent and show them what you are doing."
"149","Allina Health","2018-03-15","""CMC""","Current Employee - Anonymous Employee","","Doesn't Recommend","No opinion of CEO","NA","I have been working at Allina Health full-time (More than 10 years)","I work with some excellent people.","There is not consistency across the company.","If you are doing something for one hospital you should do it for all."
"150","Allina Health","2018-03-14","""EMPLOYEES WELL RECOGNIZED""","Current Employee - Patient Access Liaison III","Coon Rapids, MN","Recommends","Positive Outlook","Disapproves of CEO","I have been working at Allina Health full-time (More than a year)","Employee Recognition and Events, Good Benefits, Excellent pay","Executive leadership has a disconnect from ground level work and difficult patients",""
"151","Life Time Fitness","2018-04-17","""Anywhere but here""","Current Employee - Software Developer","Chanhassen, MN","Doesn't Recommend","Positive Outlook","No opinion of CEO","I have been working at Life Time Fitness full-time (More than 5 years)","Free membership and beautiful people. Nice office.","Work life balance is bad. Old technology. IT senior managers are worried about covering their backsides. No advancement for developers.","Replace IT senior managers"
"152","Life Time Fitness","2018-04-17","""DO NOT work as an Account Manager for this company""","Former Employee - Account Manager","Florham Park, NJ","Doesn't Recommend","Negative Outlook","Disapproves of CEO","I worked at Life Time Fitness full-time (Less than a year)","You get a free membership here and some of my coworkers were nice- there is really nothing else beyond that.","Management made the job seem great before I was hired. They said the earning potential was unlimited. Once I started I realized this was far from the truth. Life Time sets insanely high quotas that are incredibly hard to achieve without working 30 days per month. Management looked down on you for taking 2 days off per week. They encouraged working 6 or 7 days and doing whatever it took to hit quota. Awful work life balance for a company that is supposed to be about “living the healthy way of life.” Unless you plan on spending your entire life at work do not take this job. Turnover is extremely high. Also, it does not end with simply selling a membership. Everyday you sit in meetings that critique you on why you did not up-sell them on personal training, team training, etc. Also sick days do not exist. When I was sick once I had to make the sick day up that week or else you get written up. Lastly, some clubs do not even have a break room of any kind! I regret leaving a job to work at this company and was back at square one upon leaving.","Management cannot even do anything about these practices. It goes all the way up to the corporate ladder."
"153","Life Time Fitness","2018-04-15","""Kids Activities Member""","Former Employee - Anonymous Employee","","Recommends","Neutral Outlook","No opinion of CEO","I worked at Life Time Fitness part-time","Good coworkers, positive attitudes, easy schedules and work with you on what you need","no breaks, strict on rules",""
"154","Life Time Fitness","2018-04-14","""Life Cafe""","Former Employee - Anonymous Employee","","Doesn't Recommend","Neutral Outlook","Disapproves of CEO","I worked at Life Time Fitness full-time","Health benefits for full-time staff.Flexible with time off.","High turnover of management. Terrible support from senior and facility management.No job security, often saw people fired due to personal issues.HR department exists as a legal requirement, often compromising anonymity and failing to support staff with grievances.Little to no adherence to health and safety laws. Assigned inspector provides tip-offs when they are due to arrive.",""
"155","Life Time Fitness","2018-04-14","""Do. Not. Work. Here.""","Former Employee - Personal Trainer","Minneapolis, MN","Doesn't Recommend","Negative Outlook","Disapproves of CEO","I worked at Life Time Fitness full-time (Less than a year)","- Free gym membership- Best big box gym to train at- Met a lot of great people","Terrible business model for personal trainers.-100% commission.-They give you what would be a $30,000 salary until you get out of draw (which could be never).- I was told I would be given the majority of my clients and could earn $70,000-80,000 after 6-9 months. The reality was I was given a few clients, but was told to find all the others by ""walking the floor!"". This was a constant message from management. If you are a slick talker and enjoy hustling people to buy training you'll do great. I do not subscribe to the ""used car salesmen"" approach myself.- After 10 months I was earning what would have been a $35-40K salary.- The trainers that do well ($75k +) have been there for 2-3 years to build up their business.- If you work for this company have enough savings for one year to off set the cost of ramping up your business- A lot of back talking between employees and management- Poor employee break areas or none at all (depending on the club)- A lack of trust between management and employees- Many former athletes in management that have zero business experience, this is not a good combination for success- cutting costs and demanding high sales for all departments. They are prepping to sell the company. This is a house of cards.","- Respect employees.- Give trainers a base salary with commission bonus. Trainer are not sales people! They are trainers. Have them focus on training, what they study for and are passionate about!- Stop treating members like a piggy bank."
"156","Life Time Fitness","2018-04-12","""Lead Supervisor""","Former Employee - Lead Supervisor","King of Prussia, PA","Recommends","Positive Outlook","Approves of CEO","I worked at Life Time Fitness full-time (More than a year)","They have a very high standard of hiring and training new employee, as well as constantly ensuring their standards are being met. They reward hard work and look to promote from within frequently.","There wasn't much that I didn't enjoy about my time there. I was always very happy and very motivated to work hard when I came to work.","Keep doing what you are doing. Every experience I have had with Lifetime has been a positive one. Thank you for having/enforcing your standards."
"157","Life Time Fitness","2018-04-12","""Kids Academy""","Current Employee - Anonymous Employee","","Neutral Outlook","No opinion of CEO","NA","I have been working at Life Time Fitness part-time","there is a friendly environment","asked to go above and beyond for what is paid",""
"158","Life Time Fitness","2018-04-12","""Don't work here unless you want to be discriminated against.""","Current Employee - Personal Trainer","Harrison, NY","Doesn't Recommend","Negative Outlook","Disapproves of CEO","I have been working at Life Time Fitness full-time (Less than a year)","Can make a lot of money.","When you don't hit your goal- they treat you as a sales employee rather than trainer.They don't allow you to go to school for a different subject and work.Will discriminate if you are a latino.Made pregnant woman stand 9 hours a day with no break.If they dislike you, they will bully you out.Must dedicate your life to this company or they treat you differently. #beaboutit","Value"
"159","Life Time Fitness","2018-04-12","""So-So""","Current Employee - Operations Supervisor","Lakeville, MN","Recommends","Neutral Outlook","NA","I have been working at Life Time Fitness full-time (Less than a year)","You get a free membership to lifetime when becoming an employee here. Also great place to work your way up to a sustainable career.","Not a lot of communication between the higher management and the employees that clean the club. Very difficult to get days off","Make a more efficient way of passing messages to all the employees, like if someone's schedule changes, notifying them should be your first priority"
"160","Life Time Fitness","2018-04-11","""Corporate Life Time Fitness""","Current Employee - Anonymous Employee","","NA","NA","NA","I have been working at Life Time Fitness full-time","Free family membership for corporate employees.","This company will overwork you and does not compensate accordingly.",""
"161","Ecolab","","""A Current Employee’s Perspective""","Current Employee - Anonymous Employee","Saint Paul, MN","Recommends","Approves of CEO","NA","","I currently work at Ecolab’s Headquarters in Minnesota. I originally pursued a career with Ecolab because it is a historically ethical company with that has values and morals that I could easily get behind. They care for their employees, focus on promoting internally, and moving associates around the company to get a better range of experiences and maintain job satisfaction. I have thoroughly enjoyed being introduced to Ecolab’s culture and learning more about the different ways to can get involved throughout the company.","I was brought on as a contractor, which would be my only area of improvement for Ecolab. There are a lot of things that contractors do not have access to, and a various activities and on-boarding experiences that they are excluded from. However, this seems to be an area of improvement that is already on management’s radar and I have already seen some improvement on this.","I have had excellent experience with my managers and directors. They are receptive to new ideas and always make time to answer questions. That being said, keep up the good work!"
"162","Ecolab","2018-04-15","""Logistic analyst""","Former Employee - Logistics Analyst","Suzano (Brazil)","Recommends","Positive Outlook","Approves of CEO","I worked at Ecolab full-time (More than 3 years)","International company.Good internal opportunitiesGreat Internal Training program.","Not much flexibleTraditional and old School management.","Update knowledge"
"163","Ecolab","2018-04-13","""Nalco Champion - Good company to work""","Current Employee - Anonymous Employee","Calgary, AB (Canada)","Recommends","Positive Outlook","No opinion of CEO","I have been working at Ecolab full-time (More than 5 years)","As a large organization stepping in different area, Nalco Champion as the energy division is protected from the bigger umbrella. The company has not been affected by the oil price like other pure energy companies. Great environment, relatively relaxed working progress, good job security, you can work for your whole career.","Do not differentiate good performers and bad performers. Pay is average in the industry.","Try to keep the good performers with good compensation."
"164","Ecolab","2018-04-08","""Regulatory affairs specialist""","Former Employee - Regulatory Affairs Specialist","Pune (India)","Recommends","Positive Outlook","Approves of CEO","I worked at Ecolab full-time (More than 3 years)","Great work environment and work stress is also not much","You cannot think of leaving the company",""
"165","Ecolab","2018-04-08","""Corporate Account Manager""","Former Employee - Anonymous Employee","","Neutral Outlook","No opinion of CEO","NA","I worked at Ecolab full-time (More than 10 years)","Decent benefits pay and freedom","Have lost their way and family culture.",""
"166","Ecolab","2018-04-08","""chemical mixer""","Current Employee - Anonymous Employee","","Doesn't Recommend","Negative Outlook","Approves of CEO","I have been working at Ecolab full-time (More than a year)","Great stock options.401kCo- workers","limited growthnot the most encouraging workplace","positive enforcement is a must needs to be more balance and encouraging work environment."
"167","Ecolab","2018-04-07","""Pest""","Former Employee - Svsp","Tampa, FL","Doesn't Recommend","Negative Outlook","Disapproves of CEO","I worked at Ecolab full-time (Less than a year)","Liked the work.. and the accounts.","Didnt like working Day,, Nights,, Weekends... Holidays... 24-7 phone going off.....","They dont listen...."
"168","Ecolab","2018-04-06","""Great Company""","Former Employee - Senior Customer Service Representative","Eagan, MN","Recommends","Neutral Outlook","Approves of CEO","I worked at Ecolab full-time (More than a year)","Great hours, stable company, competetive pay, tons of oppertunity to advance and your supervisors want you to.","call center enviornment so sitting all day is hard, face paced so your worth is based on performance and a set of metrics you have to meet. lots of monthly/weekly goals, mandatory 1:1 check ins with manager to review performace/listen to calls.","more time management freedom. i loved my job but always felt a sense of time urgency and pressure. which is normal in a corporate call center enviornment, but can be very stressful"
"169","Ecolab","2018-04-05","""Route Sales Manager""","Current Employee - RSM","","Doesn't Recommend","Positive Outlook","Disapproves of CEO","I have been working at Ecolab full-time (More than 5 years)","Pay is good, 401k is good, DM Great! Co-workers awesome!","First off why are Route managers payed 2.5% bonus and TM’s given 8%. I get left taking care of laundry accounts aligned to me expected to sell the same monthly promotions and asked to care take open TM territory’s but I’m payed less! All this on top of having the same budget increase. Totally unfair! As someone who gets stuck taking care of laundry and dish machine leases laundry issues are rarely a 911 issue and can wait, where as dish machine down is urgent for all restaurants and causes a higher workload and stress. But once again your co-workers who generate less revenue for the company get payed $3000 more than you at the end of the year. Work life balance terrible, high stress. “Innovation” which leads to too many different parts needed for all of the different dish machines that you take care of. It is nearly impossible to keep up with your inventory to make sure you have everything you need on top of taking care of your customers. On call 24/7. I constantly have to skip the little things like replacing old dispensers and wall charts and making sure the Ecolab brand looks good just to keep up (this drives me crazy).","It’s a business, I get it, and nothing will probably be changed in my time with the company, I just hope it helps someone in the future. It makes me sad to write this because I do like the Ecolab brand, but just feel like the company has developed a system to turn and burn employees and it’s working for them."
"170","Ecolab","2018-04-05","""Territory Manager""","Current Employee - Anonymous Employee","","NA","NA","NA","I have been working at Ecolab full-time","-autonomy-room for growth/ development-a chance to grow your income quickly","-poor work/ life balance-work weekends on call-a lot of service",""
"171","SUPERVALU","2018-04-10","""Warehouse worker""","Current Employee - Warehouse Worker","Saint Louis, MO","Doesn't Recommend","Negative Outlook","Disapproves of CEO","I have been working at SUPERVALU full-time (More than 10 years)","Good pay and benefits","Hard work and they make it as difficult as they can.","Treat workers better"
"172","SUPERVALU","2018-04-07","""Military""","Current Employee - Departmental Specialist","Atlanta, GA","NA","NA","NA","I have been working at SUPERVALU full-time (More than 5 years)","Great management- enjoy working in the military department","The concern for lay offs is always there",""
"173","SUPERVALU","2018-04-01","""Break your back for a semi decent paycheck. A Rat Race at its finest.""","Current Employee - Order Selector","New Stanton, PA","Recommends","Negative Outlook","Disapproves of CEO","I have been working at SUPERVALU full-time (More than 3 years)","Paychecks, Holiday triple time, Union, Some really good people work here, Overtime, Paid time off","Being on a timer all day, the local 30 is weak, supervisors are constantly stocking you in order to get their write up quota, lazy union workers either hurt or calling off every day, tier 2 pay, company lies, No Pension, 401ks weak and adds up nickels and dimes, and is not enough for someone to live off when their back is shot from picking boxes.","Your standards have increased so why doesnt the pay???? Why am I stuck at a tier below someone who picked on paper back in the stone age days? You'll only find suckers for that top rate. I promise a strike will happen once we build enough tier 2 workers until you pay us the tier we deserve."
"174","SUPERVALU","2018-03-23","""Review on Supervalu""","Current Employee - Anonymous Employee","","NA","NA","NA","I have been working at SUPERVALU full-time","Hard work rewarded by senior management","You will be required to work unsociable hours",""
"175","SUPERVALU","2018-03-23","""Good Job while in College""","Current Employee - Anonymous Employee","","NA","NA","NA","I have been working at SUPERVALU part-time","Mostly laid back managers and co-workers are easy to get on with","Pay is low particularly in the beginning, management can get over stressed over small issues",""
"176","SUPERVALU","2018-03-20","""pharmacist""","Former Employee - Anonymous Employee","","NA","NA","NA","I worked at SUPERVALU full-time","helped people with their health","too much instability with ownership and management",""
"177","SUPERVALU","2018-03-19","""Okay but rarely offer raises""","Former Employee - Cashier/Bagger","Shawano, WI","Recommends","Neutral Outlook","NA","I worked at SUPERVALU part-time (More than a year)","- I liked most of the people that I worked with and most customers were easy to deal with- Always interacting with people- Nothing about the job was too difficult","- Raises were rarely offered, resulting in high turnover","Keep employees motivated and wanting to stay longer instead of leaving for a higher paying job. You could probably run more efficiently and cut training costs."
"178","SUPERVALU","2018-03-19","""Terrible leadership on every level""","Former Employee - Project Manager","Eden Prairie, MN","Doesn't Recommend","Negative Outlook","No opinion of CEO","I worked at SUPERVALU full-time (More than a year)","I worked from home twice weeklyGot paid. I earned PTO. I got to go to lunch. Seriously the worst experience of my professional life. I have no professional pros to say. Lacks vision, compassion or lack of decency to people in general.","Leadership, communication, lack of work space.My director has his favorite people. If you weren’t one of them you were below nothing. He simply didn’t care. Wouldn’t inform the team and had to hear things on hearsay.","Communication, look around and talk to people from time to time. I didn’t speak to my director once in the last 30 days. He never acknowledged me before I left. There is a reason the company is on the downward slide. No vision, no direction no communication."
"179","SUPERVALU","2018-03-19","""""Atmosphere of a good 'ol boys club""""","Former Employee - Pharmacy Technician","","Doesn't Recommend","Negative Outlook","NA","I worked at SUPERVALU full-time (More than 10 years)","A few lovely people work there.","Racial discrimination and ongoing sexual harassment by pharmacy personnel. Mainly staff pharmacists. People around/ management where aware but acted like nothing happened. This one pharmacist continually made racist and sexual remarks. He touched me several times.","Don't hire sexual preditors."
"180","SUPERVALU","2018-03-13","""treatment""","Former Employee - Shop Assistant","Monaghan (Ireland)","Doesn't Recommend","Neutral Outlook","No opinion of CEO","I worked at SUPERVALU part-time (More than a year)","not too hard work","poor pay, lack of motivation","offer some perks to employees"
"181","Honeywell","2018-04-16","""It’s a good company to grow""","Former Employee - Human Resources Manager","Bogotá, Bogota (Colombia)","Recommends","Neutral Outlook","Approves of CEO","I worked at Honeywell (More than a year)","Honeywell is a company with a lot of growing possibilities for the human capital. You will have international experience in all positions for sure","Unfortunately the leadership is used to have a micromanagement style and extremely oriented to fast results. You will have pressure for sure",""
"182","Honeywell","2018-04-16","""AME Leader""","Former Employee - Anonymous Employee","","Recommends","Positive Outlook","No opinion of CEO","I worked at Honeywell full-time","Career growth and development due to rapid growth","Salaries were below market rate","Keep up the great work"
"183","Honeywell","2018-04-16","""HOS Site Leader""","Former Employee - Anonymous Employee","","Recommends","Neutral Outlook","No opinion of CEO","I worked at Honeywell full-time","Formation incomparable, lean / six sigma, challenge permanant","Certain lead deployement specialist pas toujours à la hauteur, se focalisant sur les détails plutôt que sur l'amélioration continue","laisser plus d'autonomie"
"184","Honeywell","2018-04-16","""First Impressions""","Current Employee - New Hire","Rockford, IL","Recommends","Positive Outlook","Approves of CEO","I have been working at Honeywell full-time (Less than a year)","Great staff and very helpful. Fair compensation package.","As a relatively new employee I have not experienced any negative aspects at this time.","No recommendations at this time."
"185","Honeywell","2018-04-15","""I would go on food stamps before working for Honeywell""","Former Employee - Senior Product Manager","Lowell, MA","Doesn't Recommend","Negative Outlook","Disapproves of CEO","I worked at Honeywell (More than 5 years)","I honestly cannot name one positive about working here","Constant layoffs, incompetent management, low pay, very little merit increases, don't fall for the un-limited vacation policy. you can't take time when you want to. Benefits are absolutely terrible, $3000 deductible, $650 per pay period premiums for a family of 5","Worry less about shareholders and more about employees"
"186","Honeywell","2018-04-15","""Quality Assurance Specialist""","Former Employee - Quality Engineer","Cambridge, ON (Canada)","Recommends","Neutral Outlook","NA","I worked at Honeywell full-time (More than 8 years)","big company, reasonable pay scale and training","job security, demanding overtime, benefits cut down",""
